"GeneID","Block","logFC","adj.P.Val","Enrichment","AveExpr","t","P.Value","B"
"IL11","44_Normal vs 502_Tumor",-2.12533002600966,3.4643556840434e-68,"Tumor",3.0875782606352,-20.9761761428329,3.61453981328541e-72,153.679152847819
"TGFB1","44_Normal vs 502_Tumor",-1.99229963507379,2.28797765308784e-53,"Tumor",7.13221775711839,-17.8234423353889,2.1484478979384e-56,117.426213390617
"FAM3D","44_Normal vs 502_Tumor",4.42722324422983,4.88810511762403e-51,"Normal",3.7268360370181,17.334161475171,5.3550110840474e-54,111.993229340701
"ARTN","44_Normal vs 502_Tumor",-2.38145464153763,1.37077078525522e-48,"Tumor",3.71604006535773,-16.8077477583133,1.93076379581047e-51,106.218510614154
"GAST","44_Normal vs 502_Tumor",-2.16633239646826,4.36322909494212e-47,"Tumor",3.06965088969465,-16.4806074709131,7.28380880787458e-50,102.551489313328
"FSCN1","44_Normal vs 502_Tumor",-2.26693007775809,6.6407759236279e-45,"Tumor",9.09012558366146,-16.0037948273136,1.38573236446928e-47,97.3768036126818
"BIRC5","44_Normal vs 502_Tumor",-2.15099953414133,7.24984777024405e-43,"Tumor",5.92429852305812,-15.5525454992787,1.89103442282958e-45,92.4563849347749
"PLK1","44_Normal vs 502_Tumor",-2.0920352435663,1.68376429996364e-39,"Tumor",5.35645928250949,-14.7925199222601,6.58784091487677e-42,84.3844888949438
"BMP1","44_Normal vs 502_Tumor",-1.94151125761684,4.56698288338278e-38,"Tumor",5.31108885405116,-14.4662630290689,2.07276076401639e-40,80.9817032147179
"CCL11","44_Normal vs 502_Tumor",-1.76586120287279,1.55432191306871e-37,"Tumor",2.82573399801684,-14.3392490841618,7.86526295412722e-40,79.6162857904361
"PLAU","44_Normal vs 502_Tumor",-2.91226353319153,5.39802856569099e-36,"Tumor",8.01340524735472,-13.9824466074963,3.23842289662718e-38,76.0202796355844
"STC2","44_Normal vs 502_Tumor",-2.06025487124055,2.10706008364107e-35,"Tumor",3.63347072501521,-13.8426123405929,1.37400234991462e-37,74.5888273609677
"TUBB3","44_Normal vs 502_Tumor",-1.25817196236571,2.56103108060246e-35,"Tumor",2.55003765038863,-13.8213811557108,1.71011517719816e-37,74.3383999253951
"CSF2","44_Normal vs 502_Tumor",-1.88664815530684,5.25567764757568e-35,"Tumor",2.87985390175437,-13.7456256332342,3.72879211263129e-37,73.4679475319331
"AIM2","44_Normal vs 502_Tumor",-3.00790610516613,1.33543118124586e-34,"Tumor",4.5888299993599,-13.6484818536479,1.01015974375632e-36,72.6200699330183
"CDK9","44_Normal vs 502_Tumor",-0.939104647312725,4.24209151718799e-33,"Tumor",6.41157972888429,-13.2924173677077,3.78422270039723e-35,69.0369215677181
"ISG15","44_Normal vs 502_Tumor",-3.63363258039511,4.76203909776242e-33,"Tumor",8.90767412325149,-13.2798271389672,4.29773469619124e-35,68.9112161309971
"CALR","44_Normal vs 502_Tumor",-1.01114142579814,4.89937004666076e-33,"Tumor",10.4768565479489,-13.2764428298245,4.44723453554683e-35,68.8753152027011
"PAEP","44_Normal vs 502_Tumor",-1.19572074439387,5.09501171201454e-33,"Tumor",1.997121803707,-13.2719996839756,4.65140095780972e-35,68.5621114307959
"SLC11A1","44_Normal vs 502_Tumor",-1.07011121200774,2.2301458960196e-32,"Tumor",2.38598094257997,-13.118830178883,2.17558183815361e-34,67.2322337801989
"MMP9","44_Normal vs 502_Tumor",-3.9788761868974,4.95330337363102e-32,"Tumor",6.93012708034539,-13.0345469355642,5.06467453300475e-34,66.4611485523185
"TREM1","44_Normal vs 502_Tumor",-1.55398048591775,6.20092027581651e-32,"Tumor",2.81573209199393,-13.009573795643,6.50208657436026e-34,66.1366076069535
"LHB","44_Normal vs 502_Tumor",-0.830366619147634,9.35854987326343e-32,"Tumor",1.76811346713989,-12.9668930299615,9.95953974722594e-34,65.5395855974657
"BMP8A","44_Normal vs 502_Tumor",-0.900886585199582,1.1979664856573e-31,"Tumor",1.71344096577869,-12.9397162025826,1.30614531536531e-33,65.2452844526105
"IFI30","44_Normal vs 502_Tumor",-0.678308633200017,1.37021152634231e-31,"Tumor",1.79508980746822,-12.9257608644491,1.50109249586252e-33,65.2188732256269
"TMSB10","44_Normal vs 502_Tumor",-1.476083166063,5.8718285696924e-31,"Tumor",12.96260083394,-12.7718899317698,6.92280899760281e-33,63.8792123421278
"VAV2","44_Normal vs 502_Tumor",-1.89524581511526,2.23658751903036e-30,"Tumor",5.47246639589271,-12.6290953800521,2.83525884044227e-32,62.4929195519629
"PSMD2","44_Normal vs 502_Tumor",-1.26958745081456,4.49329009283153e-30,"Tumor",8.21368060847088,-12.5544122281985,5.90698055920259e-32,61.7652993856041
"PROC","44_Normal vs 502_Tumor",-1.16289811945828,9.71281862606645e-30,"Tumor",2.23666753111862,-12.4741083917042,1.29713681896448e-31,60.8049268120242
"UCN2","44_Normal vs 502_Tumor",-1.83040178682239,1.71737597904465e-29,"Tumor",3.55047401378094,-12.4122050515819,2.37416993294815e-31,60.3955242498626
"IFI6","44_Normal vs 502_Tumor",-3.38144882819592,2.84828568364239e-29,"Tumor",9.74213624323274,-12.3560845972011,4.10103212835985e-31,59.8507415356939
"INHBA","44_Normal vs 502_Tumor",-3.29839459181091,1.24282303552367e-28,"Tumor",5.03347032945456,-12.1975713913047,1.90615041183139e-30,58.3393273145208
"TNFRSF9","44_Normal vs 502_Tumor",-1.00369956717544,1.50501496718264e-28,"Tumor",2.17472891129621,-12.1770398535868,2.32398367304534e-30,57.985689682898
"MMP12","44_Normal vs 502_Tumor",-3.60431845745671,2.3847759181438e-28,"Tumor",5.92884214337008,-12.1261698492425,3.79444235502039e-30,57.6611154307514
"IFI27","44_Normal vs 502_Tumor",-2.69441420639922,2.42481212868436e-28,"Tumor",8.74106501502639,-12.1241001331502,3.87079404965002e-30,57.6336777712948
