"GeneID","Block","logFC","adj.P.Val","Enrichment","AveExpr","t","P.Value","B"
"HOXD11","44_Normal vs 502_Tumor",-2.27243162613916,4.2157611771321e-82,"Tumor",3.1099438046262,-23.7710610123582,2.19925983469774e-86,186.276643020467
"IL11","44_Normal vs 502_Tumor",-2.12533002600966,3.4643556840434e-68,"Tumor",3.0875782606352,-20.9761761428329,3.61453981328541e-72,153.679152847819
"HOXC9","44_Normal vs 502_Tumor",-1.4241326352189,3.53476217195897e-68,"Tumor",2.29436095235054,-20.9396865184932,5.53199776507742e-72,153.244850242307
"HSD17B6","44_Normal vs 502_Tumor",-1.31108351161089,5.66624150834466e-66,"Tumor",2.48333752144415,-20.4790898611509,1.18237602552969e-69,147.908593565725
"HOXC11","44_Normal vs 502_Tumor",-1.30187090984606,1.00166556067713e-64,"Tumor",2.11541367254021,-20.2127343030616,2.61272252250283e-68,144.808205954198
"HOXD10","44_Normal vs 502_Tumor",-2.38062619432605,1.18434494814857e-61,"Tumor",3.43549917121266,-19.5861915084923,3.70706332562543e-65,137.613871431046
"CRISP3","44_Normal vs 502_Tumor",5.41488488630765,1.71985830726788e-59,"Normal",2.35128142448884,19.1410726465591,6.28045706655286e-63,132.363094901426
"COL13A1","44_Normal vs 502_Tumor",-1.19068943734662,2.93108830781173e-59,"Tumor",2.32939659854775,-19.0831129550657,1.22326185312191e-62,131.844005037018
"ZIC2","44_Normal vs 502_Tumor",-1.95467982801882,1.75709476483978e-58,"Tumor",2.89491928918393,-18.9169808108368,8.2497015407992e-62,129.937170511265
"HOXA10","44_Normal vs 502_Tumor",-1.44131068080257,1.95686172861969e-57,"Tumor",2.33514282637149,-18.6975573820644,1.02084705963779e-60,127.408795174977
"DPF1","44_Normal vs 502_Tumor",-1.14643899552701,8.0792519915939e-57,"Tumor",2.08941523318189,-18.5652979743253,4.63622368968297e-60,125.902578728659
"ZNF114","44_Normal vs 502_Tumor",-1.53710870483499,1.30074853944585e-56,"Tumor",2.47507779562728,-18.5160179711671,8.14282564210452e-60,125.352520345367
"GNGT1","44_Normal vs 502_Tumor",-1.19585856071351,5.76827834655765e-55,"Tumor",2.02926750404382,-18.1764122539508,3.91192125333869e-58,121.466909044971
"CA9","44_Normal vs 502_Tumor",-3.84971554235852,6.12998643723098e-55,"Tumor",4.91009050773757,-18.1645513193529,4.47701028333422e-58,121.397735519626
"GPRIN1","44_Normal vs 502_Tumor",-2.07911148020055,1.07241728505824e-54,"Tumor",4.06644339605429,-18.1092947993676,8.391809314974e-58,120.552988594674
"SH3BGRL2","44_Normal vs 502_Tumor",3.14965448563312,5.19385667745709e-54,"Normal",3.38909022967413,17.9646813768982,4.33521346128194e-57,119.02181214017
"CFAP251","44_Normal vs 502_Tumor",-1.88063020216732,7.03278536993916e-54,"Tumor",3.51338354568382,-17.9326095006655,6.23701556100817e-57,118.687533839822
"TGFB1","44_Normal vs 502_Tumor",-1.99229963507379,2.28797765308784e-53,"Tumor",7.13221775711839,-17.8234423353889,2.1484478979384e-56,117.426213390617
