fromNode	toNode	weight	direction	fromAltName	toAltName
ZBTB16	VEGFD	0.147319641858503	undirected	ZBTB16	VEGFD
ZBTB16	USP2	0.0210449547576841	undirected	ZBTB16	USP2
ZBTB16	TRIM63	0.11461694708726	undirected	ZBTB16	TRIM63
ZBTB16	TRIM55	0.2135333399164	undirected	ZBTB16	TRIM55
ZBTB16	TPM2	0.311882473712854	undirected	ZBTB16	TPM2
ZBTB16	S100A1	0.272205652239894	undirected	ZBTB16	S100A1
ZBTB16	RORC	0.0722595164482954	undirected	ZBTB16	RORC
ZBTB16	PPARGC1A	0.032208614061497	undirected	ZBTB16	PPARGC1A
ZBTB16	NOS1	0.028436062295119	undirected	ZBTB16	NOS1
ZBTB16	MAPT	0.270529847425722	undirected	ZBTB16	MAPT
ZBTB16	MAP1LC3C	0.115971201848692	undirected	ZBTB16	MAP1LC3C
ZBTB16	IL17D	0.140183680279934	undirected	ZBTB16	IL17D
ZBTB16	HJV	0.291132715487488	undirected	ZBTB16	HJV
ZBTB16	GREM2	0.032021212218013	undirected	ZBTB16	GREM2
ZBTB16	GDF10	0.132978234693834	undirected	ZBTB16	GDF10
ZBTB16	FGF7	0.0288199758082359	undirected	ZBTB16	FGF7
ZBTB16	FABP3	0.263000872384066	undirected	ZBTB16	FABP3
ZBTB16	ESRRG	0.0412733482435254	undirected	ZBTB16	ESRRG
ZBTB16	DES	0.128400355776068	undirected	ZBTB16	DES
ZBTB16	CRYAB	0.194836393910951	undirected	ZBTB16	CRYAB
ZBTB16	CNTFR	0.0271174974228194	undirected	ZBTB16	CNTFR
ZBTB16	CDNF	0.213096595263512	undirected	ZBTB16	CDNF
ZBTB16	CCL14	0.0347048994772828	undirected	ZBTB16	CCL14
ZBTB16	ANGPTL1	0.212007954551527	undirected	ZBTB16	ANGPTL1
ZBTB16	ACTA1	0.29568885229265	undirected	ZBTB16	ACTA1
ZBTB16	ACKR1	0.0240788264360088	undirected	ZBTB16	ACKR1
ZBTB16	ACHE	0.19334551311025	undirected	ZBTB16	ACHE
WFDC2	TNFRSF11A	0.0325921334186647	undirected	WFDC2	TNFRSF11A
WFDC2	TGFBR3	0.0205270329627311	undirected	WFDC2	TGFBR3
