"degree.layout","name","selected","shared name"
"27","ZBTB16","false","ZBTB16"
"28","VEGFD","false","VEGFD"
"17","USP2","false","USP2"
"23","TRIM63","false","TRIM63"
"31","TRIM55","false","TRIM55"
"33","TPM2","false","TPM2"
"33","S100A1","false","S100A1"
"33","RORC","false","RORC"
"29","PPARGC1A","false","PPARGC1A"
"18","NOS1","false","NOS1"
"36","MAPT","false","MAPT"
"28","MAP1LC3C","false","MAP1LC3C"
"26","IL17D","false","IL17D"
"33","HJV","false","HJV"
"19","GREM2","false","GREM2"
"33","GDF10","false","GDF10"
"28","FGF7","false","FGF7"
"32","FABP3","false","FABP3"
"41","ESRRG","false","ESRRG"
"28","DES","false","DES"
"30","CRYAB","false","CRYAB"
"17","CNTFR","false","CNTFR"
"32","CDNF","false","CDNF"
"24","CCL14","false","CCL14"
"37","ANGPTL1","false","ANGPTL1"
"33","ACTA1","false","ACTA1"
"20","ACKR1","false","ACKR1"
"31","ACHE","false","ACHE"
"21","WFDC2","false","WFDC2"
"15","TNFRSF11A","false","TNFRSF11A"
"15","TGFBR3","false","TGFBR3"
"14","SAA2","false","SAA2"
"12","PIK3R1","false","PIK3R1"
"22","NRG2","false","NRG2"
"20","NR3C2","false","NR3C2"
"10","MMP7","false","MMP7"
"16","LTF","false","LTF"
"11","KLK1","false","KLK1"
"21","EDN3","false","EDN3"
"6","DMBT1","false","DMBT1"
"10","DEFB1","false","DEFB1"
"15","CFTR","false","CFTR"
"18","CCL28","false","CCL28"
"8","C7","false","C7"
"18","AZGP1","false","AZGP1"
"27","APOD","false","APOD"
"14","ADIPOQ","false","ADIPOQ"
"23","FGF10","false","FGF10"
"14","AGT","false","AGT"
"16","CMA1","false","CMA1"
"6","TRIM37","false","TRIM37"
"6","KHSRP","false","KHSRP"
"8","ILF3","false","ILF3"
"3","HDGFL3","false","HDGFL3"
"7","ELAVL1","false","ELAVL1"
"7","DHX9","false","DHX9"
"3","CAMKK2","false","CAMKK2"
"10","SEMA3G","false","SEMA3G"
"19","CXCL12","false","CXCL12"
"4","HTN3","false","HTN3"
"4","HTN1","false","HTN1"
"4","CST4","false","CST4"
"4","BPIFA2","false","BPIFA2"
"12","TEC","false","TEC"
"17","SPINK5","false","SPINK5"
"12","SLURP1","false","SLURP1"
"17","RAET1E","false","RAET1E"
"12","KAT2B","false","KAT2B"
"14","IL36A","false","IL36A"
"16","IL1RN","false","IL1RN"
"15","GBP6","false","GBP6"
"16","ENDOU","false","ENDOU"
"13","DUOX1","false","DUOX1"
"16","CXCR2","false","CXCR2"
"12","BLNK","false","BLNK"
"18","ANXA1","false","ANXA1"
"14","S100A9","false","S100A9"
"14","S100A8","false","S100A8"
"11","S100A14","false","S100A14"
"4","FAM3D","false","FAM3D"
"11","CEACAM1","false","CEACAM1"
"1","SORT1","false","SORT1"
"1","SHARPIN","false","SHARPIN"
"1","HSF1","false","HSF1"
"4","S100A7","false","S100A7"
"4","KRT16","false","KRT16"
"4","FABP5","false","FABP5"
"5","AQP3","false","AQP3"
"2","PDIA3","false","PDIA3"
"2","HSP90B1","false","HSP90B1"
"2","CALR","false","CALR"
"4","OGN","false","OGN"
"1","MTA1","false","MTA1"
"6","HNRNPL","false","HNRNPL"
"5","CDK4","false","CDK4"
"5","CCL2","false","CCL2"
"5","CCL23","false","CCL23"
"4","CTSG","false","CTSG"
"1","CLDN4","false","CLDN4"
