nodeName	altName	nodeAttr[nodesPresent, ]
ZBTB16	ZBTB16	brown
WFDC2	WFDC2	brown
VEGFD	VEGFD	brown
USP2	USP2	brown
TRIM63	TRIM63	brown
TRIM55	TRIM55	brown
TRIM37	TRIM37	yellow
TPM2	TPM2	brown
TNFRSF11A	TNFRSF11A	brown
TGFBR3	TGFBR3	brown
TEC	TEC	yellow
SPINK5	SPINK5	yellow
SORT1	SORT1	yellow
SLURP1	SLURP1	yellow
SHARPIN	SHARPIN	yellow
SEMA3G	SEMA3G	brown
SAA2	SAA2	brown
S100A9	S100A9	yellow
S100A8	S100A8	yellow
S100A7	S100A7	yellow
S100A14	S100A14	yellow
S100A1	S100A1	brown
RORC	RORC	brown
RAET1E	RAET1E	yellow
PPARGC1A	PPARGC1A	brown
PIK3R1	PIK3R1	brown
PDIA3	PDIA3	yellow
OGN	OGN	brown
NRG2	NRG2	brown
NR3C2	NR3C2	brown
NOS1	NOS1	brown
MTA1	MTA1	yellow
MMP7	MMP7	brown
MAPT	MAPT	brown
MAP1LC3C	MAP1LC3C	brown
LTF	LTF	brown
KRT16	KRT16	yellow
KLK1	KLK1	brown
KHSRP	KHSRP	yellow
KAT2B	KAT2B	yellow
ILF3	ILF3	yellow
IL36A	IL36A	yellow
IL1RN	IL1RN	yellow
IL17D	IL17D	brown
HTN3	HTN3	brown
HTN1	HTN1	brown
HSP90B1	HSP90B1	yellow
HSF1	HSF1	yellow
HNRNPL	HNRNPL	yellow
HJV	HJV	brown
HDGFL3	HDGFL3	yellow
GREM2	GREM2	brown
GDF10	GDF10	brown
GBP6	GBP6	yellow
FGF7	FGF7	brown
FGF10	FGF10	brown
FAM3D	FAM3D	yellow
FABP5	FABP5	yellow
FABP3	FABP3	brown
ESRRG	ESRRG	brown
ENDOU	ENDOU	yellow
ELAVL1	ELAVL1	yellow
EDN3	EDN3	brown
DUOX1	DUOX1	yellow
DMBT1	DMBT1	brown
DHX9	DHX9	yellow
DES	DES	brown
DEFB1	DEFB1	brown
CXCR2	CXCR2	yellow
CXCL12	CXCL12	brown
CTSG	CTSG	brown
CST4	CST4	brown
CRYAB	CRYAB	brown
CNTFR	CNTFR	brown
CMA1	CMA1	brown
CLDN4	CLDN4	yellow
CFTR	CFTR	brown
CEACAM1	CEACAM1	yellow
CDNF	CDNF	brown
CDK4	CDK4	yellow
CCL28	CCL28	brown
CCL23	CCL23	brown
CCL2	CCL2	brown
CCL14	CCL14	brown
CAMKK2	CAMKK2	yellow
CALR	CALR	yellow
C7	C7	brown
BPIFA2	BPIFA2	brown
BLNK	BLNK	yellow
AZGP1	AZGP1	brown
AQP3	AQP3	yellow
APOD	APOD	brown
ANXA1	ANXA1	yellow
ANGPTL1	ANGPTL1	brown
AGT	AGT	brown
ADIPOQ	ADIPOQ	brown
ACTA1	ACTA1	brown
ACKR1	ACKR1	brown
ACHE	ACHE	brown
