Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
AZGP1	563	GO:0004540;ribonuclease activity|GO:0005515;protein binding|GO:0008320;protein transmembrane transporter activity	GO:0001580;detection of chemical stimulus involved in sensory perception of bitter taste|GO:0001895;retina homeostasis|GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002476;antigen processing and presentation of endogenous peptide antigen via MHC class Ib|GO:0002486;antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent|GO:0006955;immune response|GO:0007155;cell adhesion|GO:0008285;negative regulation of cell proliferation|GO:0055085;transmembrane transport|GO:0071806;protein transmembrane transport|GO:0090501;RNA phosphodiester bond hydrolysis	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005634;nucleus|GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Process
B2M	567	GO:0005515;protein binding|GO:0042802;identical protein binding|GO:0042803;protein homodimerization activity	GO:0001895;retina homeostasis|GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002237;response to molecule of bacterial origin|GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002479;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|GO:0002480;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent|GO:0002481;antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent|GO:0002726;positive regulation of T cell cytokine production|GO:0006826;iron ion transport|GO:0007611;learning or memory|GO:0007611;learning or memory|GO:0010977;negative regulation of neuron projection development|GO:0019885;antigen processing and presentation of endogenous peptide antigen via MHC class I|GO:0032092;positive regulation of protein binding|GO:0033077;T cell differentiation in thymus|GO:0034756;regulation of iron ion transport|GO:0042026;protein refolding|GO:0043312;neutrophil degranulation|GO:0044267;cellular protein metabolic process|GO:0045087;innate immune response|GO:0045646;regulation of erythrocyte differentiation|GO:0046686;response to cadmium ion|GO:0048260;positive regulation of receptor-mediated endocytosis|GO:0050680;negative regulation of epithelial cell proliferation|GO:0050690;regulation of defense response to virus by virus|GO:0050768;negative regulation of neurogenesis|GO:0050776;regulation of immune response|GO:0051289;protein homotetramerization|GO:0055072;iron ion homeostasis|GO:0060333;interferon-gamma-mediated signaling pathway|GO:0071281;cellular response to iron ion|GO:0071283;cellular response to iron(III) ion|GO:0071316;cellular response to nicotine|GO:0090647;modulation of age-related behavioral decline|GO:1900121;negative regulation of receptor binding|GO:1900122;positive regulation of receptor binding|GO:1904434;positive regulation of ferrous iron binding|GO:1904437;positive regulation of transferrin receptor binding|GO:1990000;amyloid fibril formation|GO:2000774;positive regulation of cellular senescence|GO:2000978;negative regulation of forebrain neuron differentiation	GO:0000139;Golgi membrane|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005788;endoplasmic reticulum lumen|GO:0005794;Golgi apparatus|GO:0005829;cytosol|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005925;focal adhesion|GO:0009897;external side of plasma membrane|GO:0012507;ER to Golgi transport vesicle membrane|GO:0016020;membrane|GO:0030670;phagocytic vesicle membrane|GO:0031901;early endosome membrane|GO:0031905;early endosome lumen|GO:0035580;specific granule lumen|GO:0042612;MHC class I protein complex|GO:0042612;MHC class I protein complex|GO:0042824;MHC class I peptide loading complex|GO:0055038;recycling endosome membrane|GO:0070062;extracellular exosome|GO:1904724;tertiary granule lumen|GO:1990712;HFE-transferrin receptor complex	Process
CALR	811	GO:0001849;complement component C1q binding|GO:0003677;DNA binding|GO:0003723;RNA binding|GO:0003729;mRNA binding|GO:0005178;integrin binding|GO:0005506;iron ion binding|GO:0005509;calcium ion binding|GO:0005509;calcium ion binding|GO:0005509;calcium ion binding|GO:0005509;calcium ion binding|GO:0005515;protein binding|GO:0008270;zinc ion binding|GO:0030246;carbohydrate binding|GO:0031625;ubiquitin protein ligase binding|GO:0042277;peptide binding|GO:0042562;hormone binding|GO:0044183;protein binding involved in protein folding|GO:0050681;androgen receptor binding|GO:0051082;unfolded protein binding|GO:0051087;chaperone binding	GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002479;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|GO:0002502;peptide antigen assembly with MHC class I protein complex|GO:0006355;regulation of transcription, DNA-templated|GO:0006457;protein folding|GO:0006457;protein folding|GO:0006611;protein export from nucleus|GO:0006874;cellular calcium ion homeostasis|GO:0006898;receptor-mediated endocytosis|GO:0007283;spermatogenesis|GO:0008284;positive regulation of cell proliferation|GO:0010595;positive regulation of endothelial cell migration|GO:0010628;positive regulation of gene expression|GO:0017148;negative regulation of translation|GO:0017148;negative regulation of translation|GO:0022417;protein maturation by protein folding|GO:0030866;cortical actin cytoskeleton organization|GO:0030968;endoplasmic reticulum unfolded protein response|GO:0032355;response to estradiol|GO:0033144;negative regulation of intracellular steroid hormone receptor signaling pathway|GO:0033574;response to testosterone|GO:0034504;protein localization to nucleus|GO:0034975;protein folding in endoplasmic reticulum|GO:0036500;ATF6-mediated unfolded protein response|GO:0040020;regulation of meiotic nuclear division|GO:0042493;response to drug|GO:0042921;glucocorticoid receptor signaling pathway|GO:0042981;regulation of apoptotic process|GO:0045665;negative regulation of neuron differentiation|GO:0045787;positive regulation of cell cycle|GO:0045892;negative regulation of transcription, DNA-templated|GO:0048387;negative regulation of retinoic acid receptor signaling pathway|GO:0050766;positive regulation of phagocytosis|GO:0050821;protein stabilization|GO:0050821;protein stabilization|GO:0051208;sequestering of calcium ion|GO:0055007;cardiac muscle cell differentiation|GO:0071157;negative regulation of cell cycle arrest|GO:0071285;cellular response to lithium ion|GO:0090398;cellular senescence|GO:1900026;positive regulation of substrate adhesion-dependent cell spreading|GO:1901164;negative regulation of trophoblast cell migration|GO:1901224;positive regulation of NIK/NF-kappaB signaling|GO:1990668;vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane|GO:2000510;positive regulation of dendritic cell chemotaxis	GO:0001669;acrosomal vesicle|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005634;nucleus|GO:0005634;nucleus|GO:0005635;nuclear envelope|GO:0005737;cytoplasm|GO:0005783;endoplasmic reticulum|GO:0005783;endoplasmic reticulum|GO:0005788;endoplasmic reticulum lumen|GO:0005788;endoplasmic reticulum lumen|GO:0005789;endoplasmic reticulum membrane|GO:0005790;smooth endoplasmic reticulum|GO:0005794;Golgi apparatus|GO:0005829;cytosol|GO:0005844;polysome|GO:0005925;focal adhesion|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0016020;membrane|GO:0016020;membrane|GO:0030670;phagocytic vesicle membrane|GO:0033018;sarcoplasmic reticulum lumen|GO:0033116;endoplasmic reticulum-Golgi intermediate compartment membrane|GO:0042824;MHC class I peptide loading complex|GO:0042824;MHC class I peptide loading complex|GO:0044322;endoplasmic reticulum quality control compartment|GO:0048471;perinuclear region of cytoplasm|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome|GO:0071556;integral component of lumenal side of endoplasmic reticulum membrane|GO:0071682;endocytic vesicle lumen	Process
CANX	821	GO:0003723;RNA binding|GO:0005509;calcium ion binding|GO:0005515;protein binding|GO:0030246;carbohydrate binding|GO:0034185;apolipoprotein binding|GO:0035255;ionotropic glutamate receptor binding|GO:0051082;unfolded protein binding	GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0006457;protein folding|GO:0006457;protein folding|GO:0007568;aging|GO:0009306;protein secretion|GO:0016032;viral process|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II|GO:0030968;endoplasmic reticulum unfolded protein response|GO:0034975;protein folding in endoplasmic reticulum|GO:0048488;synaptic vesicle endocytosis|GO:0070106;interleukin-27-mediated signaling pathway|GO:0070757;interleukin-35-mediated signaling pathway|GO:0072583;clathrin-dependent endocytosis	GO:0005783;endoplasmic reticulum|GO:0005788;endoplasmic reticulum lumen|GO:0005789;endoplasmic reticulum membrane|GO:0005789;endoplasmic reticulum membrane|GO:0005790;smooth endoplasmic reticulum|GO:0005791;rough endoplasmic reticulum|GO:0005840;ribosome|GO:0016020;membrane|GO:0030424;axon|GO:0032839;dendrite cytoplasm|GO:0032991;protein-containing complex|GO:0042470;melanosome|GO:0043025;neuronal cell body|GO:0043197;dendritic spine|GO:0044233;Mitochondria-associated ER Membrane|GO:0044322;endoplasmic reticulum quality control compartment|GO:0070062;extracellular exosome|GO:0070062;extracellular exosome|GO:0071556;integral component of lumenal side of endoplasmic reticulum membrane|GO:0098978;glutamatergic synapse|GO:0099055;integral component of postsynaptic membrane|GO:0099059;integral component of presynaptic active zone membrane	Component
CD1A	909	GO:0005515;protein binding|GO:0030883;endogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0071723;lipopeptide binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002250;adaptive immune response|GO:0006955;immune response|GO:0006955;immune response|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048007;antigen processing and presentation, exogenous lipid antigen via MHC class Ib|GO:0050776;regulation of immune response	GO:0005615;extracellular space|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0010008;endosome membrane|GO:0045121;membrane raft	Function
CD1B	910	GO:0005515;protein binding|GO:0030883;endogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0071723;lipopeptide binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002250;adaptive immune response|GO:0006955;immune response|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048007;antigen processing and presentation, exogenous lipid antigen via MHC class Ib|GO:0050776;regulation of immune response	GO:0005615;extracellular space|GO:0005765;lysosomal membrane|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0010008;endosome membrane|GO:0016021;integral component of membrane	Function
CD1C	911	GO:0030883;endogenous lipid antigen binding|GO:0030883;endogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0051861;glycolipid binding|GO:0071723;lipopeptide binding|GO:0071723;lipopeptide binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002250;adaptive immune response|GO:0002286;T cell activation involved in immune response|GO:0006955;immune response|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048007;antigen processing and presentation, exogenous lipid antigen via MHC class Ib|GO:0050776;regulation of immune response	GO:0005615;extracellular space|GO:0005764;lysosome|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0010008;endosome membrane	Function
CD1D	912	GO:0005515;protein binding|GO:0030881;beta-2-microglobulin binding|GO:0030882;lipid antigen binding|GO:0030883;endogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0042393;histone binding|GO:0050839;cell adhesion molecule binding|GO:0071723;lipopeptide binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0006955;immune response|GO:0016045;detection of bacterium|GO:0034113;heterotypic cell-cell adhesion|GO:0042102;positive regulation of T cell proliferation|GO:0045058;T cell selection|GO:0045087;innate immune response|GO:0045089;positive regulation of innate immune response|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048007;antigen processing and presentation, exogenous lipid antigen via MHC class Ib|GO:0050776;regulation of immune response	GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0005765;lysosomal membrane|GO:0005783;endoplasmic reticulum|GO:0005789;endoplasmic reticulum membrane|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0010008;endosome membrane|GO:0016323;basolateral plasma membrane	Function
CD1E	913	GO:0030883;endogenous lipid antigen binding|GO:0030884;exogenous lipid antigen binding|GO:0071723;lipopeptide binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002250;adaptive immune response|GO:0006955;immune response|GO:0006955;immune response|GO:0048006;antigen processing and presentation, endogenous lipid antigen via MHC class Ib|GO:0048007;antigen processing and presentation, exogenous lipid antigen via MHC class Ib	GO:0000139;Golgi membrane|GO:0005615;extracellular space|GO:0005769;early endosome|GO:0005770;late endosome|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0043202;lysosomal lumen	Function
CD4	920	GO:0001618;virus receptor activity|GO:0004888;transmembrane signaling receptor activity|GO:0005201;extracellular matrix structural constituent|GO:0005515;protein binding|GO:0008270;zinc ion binding|GO:0015026;coreceptor activity|GO:0019865;immunoglobulin binding|GO:0019899;enzyme binding|GO:0019901;protein kinase binding|GO:0038023;signaling receptor activity|GO:0042011;interleukin-16 binding|GO:0042012;interleukin-16 receptor activity|GO:0042289;MHC class II protein binding|GO:0042289;MHC class II protein binding|GO:0042289;MHC class II protein binding|GO:0042289;MHC class II protein binding|GO:0042802;identical protein binding|GO:0042803;protein homodimerization activity|GO:1990782;protein tyrosine kinase binding|GO:1990782;protein tyrosine kinase binding	GO:0001816;cytokine production|GO:0001934;positive regulation of protein phosphorylation|GO:0002250;adaptive immune response|GO:0006948;induction by virus of host cell-cell fusion|GO:0006955;immune response|GO:0007155;cell adhesion|GO:0007165;signal transduction|GO:0007166;cell surface receptor signaling pathway|GO:0007167;enzyme linked receptor protein signaling pathway|GO:0007169;transmembrane receptor protein tyrosine kinase signaling pathway|GO:0010524;positive regulation of calcium ion transport into cytosol|GO:0019064;fusion of virus membrane with host plasma membrane|GO:0019221;cytokine-mediated signaling pathway|GO:0030217;T cell differentiation|GO:0030225;macrophage differentiation|GO:0032355;response to estradiol|GO:0032507;maintenance of protein location in cell|GO:0033280;response to vitamin D|GO:0033674;positive regulation of kinase activity|GO:0035397;helper T cell enhancement of adaptive immune response|GO:0035723;interleukin-15-mediated signaling pathway|GO:0035723;interleukin-15-mediated signaling pathway|GO:0042102;positive regulation of T cell proliferation|GO:0042110;T cell activation|GO:0043123;positive regulation of I-kappaB kinase/NF-kappaB signaling|GO:0043410;positive regulation of MAPK cascade|GO:0045058;T cell selection|GO:0045086;positive regulation of interleukin-2 biosynthetic process|GO:0045657;positive regulation of monocyte differentiation|GO:0045860;positive regulation of protein kinase activity|GO:0045893;positive regulation of transcription, DNA-templated|GO:0046598;positive regulation of viral entry into host cell|GO:0050690;regulation of defense response to virus by virus|GO:0050731;positive regulation of peptidyl-tyrosine phosphorylation|GO:0050829;defense response to Gram-negative bacterium|GO:0050850;positive regulation of calcium-mediated signaling|GO:0050852;T cell receptor signaling pathway|GO:0050863;regulation of T cell activation|GO:0051924;regulation of calcium ion transport|GO:0061024;membrane organization|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0097011;cellular response to granulocyte macrophage colony-stimulating factor stimulus	GO:0005769;early endosome|GO:0005788;endoplasmic reticulum lumen|GO:0005789;endoplasmic reticulum membrane|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009897;external side of plasma membrane|GO:0030665;clathrin-coated vesicle membrane|GO:0042101;T cell receptor complex|GO:0045121;membrane raft|GO:0045121;membrane raft	Function
