ensembl_id_mouse	gene_symbol	HGNC_symbol	ensembl_id_human	description
ENSMUSG00000064363	mt-Nd4	MT-ND4	ENSG00000198886	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]
ENSMUSG00000064356	mt-Atp8	MT-ATP8	ENSG00000228253	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]
ENSMUSG00000064358	mt-Co3	MT-CO3	ENSG00000198938	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]
ENSMUSG00000064357	mt-Atp6	MT-ATP6	ENSG00000198899	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]
ENSMUSG00000064341	mt-Nd1	MT-ND1	ENSG00000198888	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]
ENSMUSG00000064351	mt-Co1	MT-CO1	ENSG00000198804	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]
ENSMUSG00000064367	mt-Nd5	MT-ND5	ENSG00000198786	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]
ENSMUSG00000064368	mt-Nd6	MT-ND6	ENSG00000198695	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]
ENSMUSG00000065947	mt-Nd4l	MT-ND4L	ENSG00000212907	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]
ENSMUSG00000064370	mt-Cytb	MT-CYB	ENSG00000198727	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]
ENSMUSG00000064360	mt-Nd3	MT-ND3	ENSG00000198840	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]
ENSMUSG00000064354	mt-Co2	MT-CO2	ENSG00000198712	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]
ENSMUSG00000064345	mt-Nd2	MT-ND2	ENSG00000198763	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]
ENSMUSG00000095799	Gm8332	EIF1AY	ENSG00000198692	predicted pseudogene 8332 [Source:MGI Symbol;Acc:MGI:3644018]
ENSMUSG00000114075	Gm16368	EIF1AY	ENSG00000198692	predicted pseudogene 16368 [Source:MGI Symbol;Acc:MGI:3647101]
ENSMUSG00000102053	Gm4064	RBMY1B	ENSG00000242875	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000102053	Gm4064	RBMY1A1	ENSG00000234414	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000102053	Gm4064	RBMY1D	ENSG00000244395	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000102053	Gm4064	RBMY1E	ENSG00000242389	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000102053	Gm4064	RBMY1F	ENSG00000169800	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000102053	Gm4064	RBMY1J	ENSG00000226941	predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239]
ENSMUSG00000069044	Usp9y	USP9Y	ENSG00000114374	ubiquitin specific peptidase 9, Y chromosome [Source:MGI Symbol;Acc:MGI:1313274]
ENSMUSG00000056673	Kdm5d	KDM5D	ENSG00000012817	lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780]
ENSMUSG00000113971	Gm2022	EIF1AY	ENSG00000198692	predicted pseudogene 2022 [Source:MGI Symbol;Acc:MGI:3780191]
ENSMUSG00000100194	Tgif2lx2	TGIF2LY	ENSG00000176679	TGFB-induced factor homeobox 2-like, X-linked 2 [Source:MGI Symbol;Acc:MGI:3800824]
ENSMUSG00000113805	Gm5788	EIF1AY	ENSG00000198692	predicted pseudogene 5788 [Source:MGI Symbol;Acc:MGI:3647569]
